IRank   Geography                    Urban Area                              Estimate        Miles    Kilometers      Mile       Kilometer    (See Note)
356    Japan                        Sendai                                   1,390,000        128         332         10,900       4,200      C:B
358    Myanmar                      Mandalay                                 1,390,000          51        132         27,300      10,500      C:B
360    Germany                      Stuttgart                                1,385,000        185         479          7,500       2,900      C:B
360    India                        Raipur, CH                               1,385,000          43        111         32,200      12,400      A:B
362    China                        Xining, QH                               1,380,000          73        189         18,900       7,300      C:B
362    Czech Republic               Prague                                   1,380,000        115         298         12,000       4,600      C:B
360    Japan                        Hiroshima                                1,380,000        110         285         12,500       4,800      C:B
365    Malaysia                     Penang                                   1,375,000        115         298         12,000       4,600      C:B
366    Mexico                       Ciudad Juarez                            1,370,000        140         363          9,800       3,800      C:B
366    New Zealand                  Auckland                                 1,370,000        210         544          6,500       2,500      C:B
368    Russia                       Yekaterinburg                            1,365,000        200         518          6,800       2,600      C:B
369    China                        Baoding, HEB                             1,360,000        150         389          9,100       3,500      C:B
369    India                        Aurangabad, MH                           1,360,000          28         73         48,600      18,800      A:B
371    Argentina                    Rosario                                  1,355,000          90        233         15,100       5,800      C:B
371    China                        Nantong, JS                              1,355,000        153         396          8,900       3,400      C:B
371    India                        Jabalpur, MP                             1,355,000          35         91         38,700      14,900      A:B
371    Nigeria                      Benin City                               1,355,000          88        228         15,400       5,900      W:B
375    Iran                         Ahvaz                                    1,345,000          90        233         14,900       5,800      C:B
376    India                        Asansol, WB                              1,335,000          25         65         53,400      20,600      A:B
377    Armenia                      Yerevan                                  1,325,000        145         376          9,100       3,500      C:B
377    China                        Fushun, LN                               1,325,000          50        130         26,500      10,200      C:B
377    China                        Xuzhou, JS                               1,325,000          90        233         14,700       5,700      C:B
377    Indonesia                    Surakarta                                1,325,000          80        207         16,600       6,400      C:B
381    Bulgaria                     Sofia                                    1,320,000          80        207         16,500       6,400      C:B
382    India                        Allahabad, UP                            1,315,000          48        124         27,400      10,600      A:B
383    Uruguay                      Montevideo                               1,305,000        120         311         10,900       4,200      C:B
384    India                        Jodhpur, RJ                              1,300,000          32         83         40,600      15,700      A:B
384    Syria                        Hamah                                    1,300,000          20         52         65,000      25,100      D:B
386    China                        Wenling (Taizhou), ZJ                    1,290,000          45        117         28,700      11,100      C:B
387    India                        Amritsar, PB                             1,285,000          38         98         33,800      13,100      A:B
388    India                        Ranchi, JH                               1,280,000          22         57         58,200      22,500      A:B
388    Mongolia                     Ulaanbaatar                              1,280,000        120         311         10,700       4,100      C:B
390    Bolivia                      Cochabamba                               1,275,000          98        254         13,000       5,000      C:B
390    Denmark                      Copenhagen                               1,275,000        238         616          5,200       2,000      A:A
390    India                        Dhanbad, JH                              1,275,000          37         96         34,500      13,300      A:B
393    Chad                         N'Djamena                                1,270,000          64        166         19,800       7,700      W:B
394    China                        Qiqihaer, HL                             1,260,000          50        130         25,200       9,700      C:B
394    Saudi Arabia                 Medina                                   1,260,000        135         350          9,300       3,600      C:B
396    India                        Durg-Bhilainagar, CH                     1,255,000          44        114         28,500      11,000      A:B
397    China                        Anyang, HEN                              1,245,000          95        246         13,100       5,100      C:B
397    Indonesia                    Denpasar                                 1,245,000          69        179         18,000       7,000      C:B
399    China                        Dongying, SD                             1,240,000          85        220         14,600       5,600      C:B
399    India                        Tiruppur, TN                             1,240,000          40        104         31,000      12,000      A:B
401    China                        Qinhuangdao, HEB                         1,235,000        170         440          7,300       2,800      C:B
401    India                        Gwalior, MP                              1,235,000          22         57         56,100      21,700      A:B
401    United Kingdom               Glasgow                                  1,235,000        142         368          8,500       3,300      D:A
404    Indonesia                    Batam                                    1,225,000          80        207         15,300       5,900      C:B
404    South Africa                 Port Elizabeth                           1,225,000        150         389          8,200       3,200      C:B
404    Turkey                       Konya                                    1,225,000          50        130         24,500       9,500      D:B
407    Finland                      Helsinki                                 1,220,000        247         641          4,800       1,800      A:A
407    Morocco                      Fez                                      1,220,000          32         83         38,100      14,700      C:B
409    Canada                       Calgary, AB                              1,215,000        272         704          4,000       1,600      A:A
409    Nigeria                      Aba                                      1,215,000          35         91         34,700      13,400      W:B
411    Morocco                      Marrakech                                1,210,000          31         80         39,000      15,100      C:B
412    Benin                        Cotonou                                  1,205,000          80        207         15,100       5,800      W:B
412    United States                Providence, RI-MA                        1,205,000        545       1,412          2,200         800      A:A
414    China                        Xiangyang, HUB                           1,200,000          52        135         23,100       8,900      C:B
414    Congo (Dem. Rep.)            Kananga                                  1,200,000          28         73         42,900      16,500      D:B
416    Brazil                       Sao Luis                                 1,190,000        165         427          7,200       2,800      C:B
416    Ireland                      Dublin                                   1,190,000        123         318          9,000       3,500      A:A
416    Russia                       Nizhniy Novgorod                         1,190,000        240         622          5,000       1,900      C:B
419    Brazil                       Vittoria                                 1,185,000        130         337          9,100       3,500      C:B
419    Iraq                         Irbil                                    1,185,000          29         75         40,900      15,800      D:B
421    China                        Lianyungang, JS                          1,175,000          60        155         19,600       7,600      C:B
422    China                        Ruian (Wenzhou), ZJ                      1,170,000          51        132         22,900       8,900      C:B
422    China                        Zhangjiakou, HEB                         1,170,000          50        130         23,400       9,000      C:B
422    China: Taiwan                Tainan                                   1,170,000        100         259         11,700       4,500      C:B
422    Mexico                       Torreon                                  1,170,000        110         285         10,600       4,100      C:B
422    United States                Jacksonville, FL                         1,170,000        530       1,373          2,000         800      A:A
427    China                        Huainan, AH                              1,160,000          42        109         27,600      10,700      C:B
427    Rwanda                       Kigali                                   1,160,000          44        114         26,400      10,200      C:B
429    Honduras                     Tegucigalpa                              1,155,000          57        148         20,300       7,800      C:B
429    Indonesia                    Cirebon                                  1,155,000          41        106         28,200      10,900      C:B
427    Japan                        Naha                                     1,155,000        115         298         10,000       3,900      C:B
429    Kenya                        Mombasa                                  1,155,000          33         85         35,000      13,500      D:B
429    Russia                       Omsk                                     1,155,000        190         492          6,100       2,300      C:B
429    Venezuela                    Maracay                                  1,155,000          85        220         13,600       5,200      C:B
435    Australia                    Adelaide, SA                             1,150,000        329         852          3,400       1,300      A:A
435    India                        Chandigarh, CH-HR-PB                     1,150,000        100         259         11,500       4,400      A:B
435    Russia                       Chelyabinsk                              1,150,000        155         401          7,400       2,900      C:B
438    China                        Huaibei, AH                              1,145,000          35         91         32,700      12,600      C:B
438    China                        Tengzhou (Zhaoahuang), SD                1,145,000          44        114         26,000      10,000      C:B
438    Indonesia                    Pekan Baru                               1,145,000          26         67         44,000      17,000      D:B
438    Russia                       Kazan                                    1,145,000        170         440          6,700       2,600      C:B
438    Russia                       Samara                                   1,145,000          95        246         12,100       4,700      C:B
443    Pakistan                     Quetta                                   1,140,000          48        124         23,800       9,200      D:B
444    Iran                         Qom                                      1,130,000          45        117         25,100       9,700      C:B
444    United States                Raleigh, NC                              1,130,000        518       1,342          1,700         700      A:A
446    China                        Huzhou, ZJ                               1,125,000        123         319          9,100       3,500      C:B
446    India                        Bareilly, UP                             1,125,000          32         83         35,200      13,600      A:B
446    Indonesia                    Malang                                   1,125,000          95        246         11,800       4,600      D:B
446    Turkey                       Adana                                    1,125,000          63        163         17,900       6,900      C:B
450    India                        Tiruchirappalli, TN                      1,120,000          33         85         33,900      13,100      A:B
450    Mexico                       San Luis Potosí                          1,120,000          82        212         13,700       5,300      C:B
452    Libya                        Tripoli                                  1,115,000          75        194         14,900       5,700      D:B
453    Spain                        Seville                                  1,110,000        105         272         10,600       4,100      C:B
453    United States                Memphis, TN-MS-AR                        1,110,000        497       1,287          2,100         800      A:A
455    China                        Jiamusi, HL                              1,105,000          31         80         35,600      13,800      C:B
455    United States                Nashville, TN                            1,105,000        563       1,458          1,700         700      A:A
455    Uzbekistan                   Samarkand                                1,105,000        195         505          5,700       2,200      F:B
458    Georgia                      Tblisi                                   1,100,000          95        246         11,600       4,500      C:B
458    India                        Mysore, KA                               1,100,000          35         91         31,400      12,100      A:B
458    Israel                       Haifa                                    1,100,000          88        228         12,500       4,800      D:B
458    Nigeria                      Kaduna                                   1,100,000          59        153         18,600       7,200      W:B
458    United States                Salt Lake City, UT                       1,100,000        278         720          3,700       1,400      A:A
463    China                        Xinxiang, HEN                            1,090,000          40        104         27,300      10,500      C:B
464    Brazil                       Natal                                    1,085,000          95        246         11,400       4,400      C:B
464    China                        Fuzhou, JX                               1,085,000          26         67         41,700      16,100      C:B
464    Serbia                       Belgrade                                 1,085,000          95        246         11,400       4,400      C:B
467    China                        Zhucheng (Weifang), SD                   1,080,000          56        145         19,300       7,400      C:B
467    Russia                       Rostov                                   1,080,000        145         376          7,400       2,900      C:B
469    China                        Yichang, HUB                             1,075,000          25         65         43,000      16,600      C:B
470    Brazil                       Joao Pessoa                              1,070,000          75        194         14,300       5,500      C:B
470    China                        Puning (Jieyang), GD                     1,070,000          69        179         15,500       6,000      C:B
470    Sierra Leone                 Freetown                                 1,070,000          35         91         30,600      11,800      W:B
473    China                        Zhanjiang, GD                            1,065,000          32         83         33,300      12,800      C:B
474    Canada                       Edmonton, AB                             1,060,000        330         855          2,900       1,100      A:A
474    France                       Lille                                    1,060,000        171         443          6,200       2,400      C:B
476    India                        Guwahati, AS                             1,055,000          27         70         39,100      15,100      A:B
476    India                        Kota, RJ                                 1,055,000          44        114         24,000       9,300      C:B
478    Colombia                     Bucaramanga                              1,050,000          27         70         38,900      15,000      C:B
478    India                        Aligarh, UP                              1,050,000          16         41         65,600      25,300      A:B
480    Saudi Arabia                 Ad-Dammam                                1,045,000        375         971          2,800       1,100      C:B
481    Congo (Dem. Rep.)            Kisangani                                1,040,000          22         57         47,300      18,300      D:B
482    India                        Moradabad, UP                            1,035,000         20          52        51,800      20,000      A:B
482    Iraq                         Sulaimaniya                              1,035,000         24          62        43,100      16,700      D:B
482    United States                Louisville, KY-IN                        1,035,000        477       1,235         2,000         800      A:A
485    Bangladesh                   Khulna                                   1,030,000         27          70        38,100      14,700      D:B
485    China                        Xiangtan, HUN                            1,030,000         50        130         20,600       8,000      C:B
485    United States                Richmond, VA                             1,030,000        492       1,274         1,900         700      A:A
488    China                        Pingdingshan, HEN                        1,025,000         34          88        30,100      11,600      C:B
488    China                        Zhuzhou, HUN                             1,025,000         60        155         17,100       6,600      C:B
488    Laos                         Vientiane                                1,025,000         50        130         20,500       7,900      D:B
488    Mexico                       Queretaro                                1,025,000        140        363          7,300       2,800      C:B
488    Russia                       Ufa                                      1,025,000         65        168         15,800       6,100      C:B
493    Iraq                         Basra                                    1,020,000         61        158         16,700       6,500      D:B
494    Algeria                      Wahran                                   1,015,000         63        163         16,100       6,200      C:B
494    Belgium                      Antwerp                                  1,015,000        245        635          4,100       1,600      C:B
494    China                        Hengyang, HUN                            1,015,000         23          60        44,100      17,000      C:B
494    Colombia                     Cartagena                                1,015,000         36          93        28,200      10,900      C:B
494    India                        Salem, TN                                1,015,000         19          49        53,400      20,600      A:B
494    Mexico                       Merida                                   1,015,000        165        427          6,200       2,400      C:B
494    Viet Nam                     Hai Phong                                1,015,000         25          65        40,600      15,700      C:B
501    Argentina                    Mendoza                                  1,010,000         95        246         10,600       4,100      C:B
501    Canada                       Ottawa, ON-QC                            1,010,000        194        502          4,800       1,900      A:A
501    India                        Bhubaneswar, OR                          1,010,000         28          73        36,100      13,900      A:B
501    Ukraine                      Odessa                                   1,010,000         80        207         12,600       4,900      D:B
505    Honduras                     San Pedro Sula                           1,005,000         62        161         16,200       6,300      C:B
505    Russia                       Krasnoyarsk                              1,005,000        170        440          5,900       2,300      C:B
507    India                        Solapur, MH                              1,000,000         21          54        47,600      18,400      A:B
507    Mexico                       Morelia                                  1,000,000         72        186         13,900       5,400      C:B
507    Russia                       Volgograd                                1,000,000        260        673          3,800       1,500      C:B
510    Brazil                       Maceio                                     995,000         45        117         22,100       8,500      C:B
511    China                        Zhenjiang, JS                              990,000         94        243         10,500       4,100      C:B
511    Nicaragua                    Managua                                    990,000         60        155         16,500       6,400      C:B
511    Norway                       Oslo                                       990,000        112        290          8,300       3,200      A:A
511    South Korea                  Changwon                                   990,000         40        104         24,800       9,600      C:B
515    Congo                        Pointe Noire                               980,000         39        101         25,100       9,700      D:B
515    Viet Nam                     Da Nang                                    980,000         25          65        39,200      15,100      D:B
517    China                        Bengbu, AH                                 975,000         65        168         15,000       5,800      C:B
517    China                        Yancheng, JS                               975,000         80        207         12,200       4,700      C:B
515    Japan                        Hamamatsu                                  975,000        100        259          9,800       3,800      C:B
505    France                       Nice                                       970,000        287        744          3,400       1,300      C:B
520    India                        Jalandhar, PB                              970,000         22          57        44,100      17,000      A:B
520    Russia                       Perm                                       970,000        130        337          7,500       2,900      D:B
523    China                        Guilin, GX                                 965,000         41        106         23,500       9,100      C:B
523    China                        Rizhao, SD                                 965,000         57        148         16,900       6,500      C:B
523    Morocco                      Tanger                                     965,000         37          96        26,100      10,100      D:B
523    United States                Hartford, CT                               965,000        516       1,336         1,800         700      A:A
527    Brazil                       Teresina                                   960,000         85        220         11,300       4,400      D:B
528    China                        Fuxin, LN                                  955,000         48        124         19,900       7,700      C:B
528    France                       Toulouse                                   955,000        313        811          3,100       1,200      C:B
530    France                       Bordeaux                                   950,000        314        812          3,000       1,200      C:B
530    Mexico                       Mexicali                                   950,000         78        202         12,200       4,700      C:B
530    Pakistan                     Bahawalpur                                 950,000         23          60        41,300      15,900      D:B
533    China                        Kashi, XJ                                  945,000         50        130         18,900       7,300      C:B
534    Brazil                       Florianopolis                              940,000         70        181         13,400       5,200      C:B
534    China                        Jinzhou, LN                                940,000         30          78        31,300      12,100      C:B
534    Malawi                       Lilongwe                                   940,000         27          70        34,800      13,400      D:B
534    Ukraine                      Dnipropetrovsk                             940,000        125        324          7,500       2,900      C:B
538    China                        Mudanjiang, HL                             935,000         42        109         22,300       8,600      C:B
538    Turkey                       Diyarbakir                                 935,000         24          62        39,000      15,000      D:B
540    United States                Oklahoma City, OK                          930,000        411       1,064         2,100         800      A:A
540    Venezuela                    Barquisimeto                               930,000         75        194         12,400       4,800      C:B
542    Indonesia                    Bandar Lampung                             925,000         41        106         22,600       8,700      C:B
542    Ukraine                      Donetsk                                    925,000        174        451          5,300       2,100      D:B
542    United States                New Orleans, LA                            925,000        251        650          3,600       1,400      A:A
545    Argentina                    Tucuman                                    920,000         44        114         20,900       8,100      D:B
545    China                        Weihai, SD                                 920,000         65        168         14,200       5,500      C:B
545    United States                Buffalo, NY                                920,000        380        984          2,500       1,000      A:A
548    Turkey                       Kayseri                                    915,000         39        101         23,500       9,100      D:B
548    United States                Tucson, AZ                                 915,000        353        914          2,400         900      A:A
550    Iraq                         Najaf                                      910,000         34          88        26,800      10,300      D:B
550    Yemen                        Aden                                       910,000         19          49        47,900      18,500      D:B
552    China                        Fuqing (Fuzhou), FJ                        905,000         85        220         10,600       4,100      C:B
552    China                        Kaifeng, HEN                               905,000         90        233         10,100       3,900      C:B
552    Iran                         Kermanshah                                 905,000         40        104         22,600       8,700      C:B
552    South Korea                  Ulsan                                      905,000         40        104         22,600       8,700      D:B
556    China                        Benxi, LN                                  900,000         45        117         20,000       7,700      C:B
556    Philippines                  Angeles City                               900,000         72        186         12,500       4,800      C:B
556    Russia                       Voronezh                                   900,000         61        158         14,800       5,700      C:B
559    China                        Tongliao, NM                               895,000         65        168         13,800       5,300      C:B
550    France                       Nantes                                     890,000        453       1,173         1,900         700      A:A
560    Indonesia                    Padang                                     890,000         39        101         22,800       8,800      C:B
560    Mauritania                   Nouakchott                                 890,000         33          85        27,000      10,400      W:B
560    Nigeria                      Ilorin                                     890,000         32          83        27,800      10,700      W:B
560    United Kingdom               Southampton-Portsmouth                     890,000         74        192         11,500       4,500      A:A
565    Chile                        Valparaíso-Vina del Mar                    880,000         62        161         14,200       5,500      C:B
565    China                        Baoji, SAA                                 880,000         64        166         13,800       5,300      D:B
565    China                        Jiaozuo, HEN                               880,000         95        246          9,300       3,600      C:B
565    China                        Linfen, SAX                                880,000         48        124         18,300       7,100      C:B
565    Congo (Dem. Rep.)            Bukavu                                     880,000         17          44        51,800      20,000      D:B
565    Tanzania                     Mwanza                                     880,000         44        114         20,000       7,700      D:B
565    United Kingdom               Liverpool                                  880,000         77        200         11,200       4,300      A:A
565    United States                El Paso, TX-NM                             880,000        251        650          3,200       1,200      A:A
573    Turkey                       Mersin                                     875,000         29          75        30,200      11,600      D:B
574    Congo (Dem. Rep.)            Goma                                       870,000         21          54        41,400      16,000      F:B
575    China                        Chifeng, NM                                865,000         65        168         13,300       5,100      C:B
575    India                        Warangal, AP                               865,000         34          88        25,400       9,800      A:B
575    Senegal                      Touba                                      865,000         55        142         15,700       6,100      W:B
578    Kyrgyzstan                   Bishkek                                    860,000         70        181         12,300       4,700      D:B
578    Peru                         Arequipa                                   860,000         75        194         11,500       4,400      D:B
578    United States                McAllen, TX                                860,000        358        927          2,000         800      A:A
581    China                        Jiaxing, ZJ                                855,000         70        181         12,200       4,700      C:B
581    Poland                       Gdansk                                     855,000        125        324          6,800       2,600      C:B
583    China                        Cangnan (Wenzhou), ZJ                      850,000         25          65        34,000      13,100      C:B
583    China                        Maanshan, AH                               850,000         75        194         11,300       4,400      C:B
583    Israel                       Jerusalem                                  850,000         90        233          9,400       3,600      D:B
583    Italy                        Bergamo                                    850,000        100        259          8,500       3,300      D:B
581    Japan                        Niigata                                    850,000         99        256          8,600       3,300      C:B
583    Oman                         Muscat                                     850,000         80        207         10,600       4,100      D:B
583    Turkey                       Antalya                                    850,000         70        181         12,100       4,700      C:B
583    United States                Honolulu, HI                               850,000        170        440          4,700       1,800      A:A
591    Brazil                       Campo Grande                               845,000         81        210         10,400       4,000      C:B
591    Mexico                       Chihuahua                                  845,000        100        259          8,500       3,300      C:B
591    Tajikistan                   Dushanbe                                   845,000         97        251          8,700       3,400      D:B
594    China                        Jieyang, GD                                840,000         75        194         11,200       4,300      C:B
594    India                        Siliguri, WB                               840,000         17          44        49,400      19,100      A:B
596    Mexico                       Cuernavaca                                 835,000         80        207         10,400       4,000      C:B
597    China                        Danyang (Zhenjiang), JS                    830,000         28          73        29,600      11,400      C:B
597    China                        Taian, SD                                  830,000         45        117         18,400       7,100      C:B
597    China                        Yichun, JX                                 830,000         29          75        28,600      11,100      C:B
597    Indonesia                    Tasikmalaya                                830,000         15          39        55,300      21,400      C:B
597    Italy                        Florence                                   830,000         85        220          9,800       3,800      C:B
602    China                        Panzhihua, SC                              825,000         20          52        41,300      15,900      C:B
602    Greece                       Thessaloniki                               825,000         75        194         11,000       4,200      C:B
602    Malawi                       Blantyre                                   825,000         39        101         21,200       8,200      D:B
602    United States                Albuquerque, NM                            825,000        251        650          3,000       1,100      A:A
606    China                        Changzhi, SAX                              820,000         40        104         20,500       7,900      C:B
606    China                        Ganzhou, JX                                820,000         47        122         17,400       6,700      C:B
606    India                        Dehradun, UK                               820,000         44        114         18,600       7,200      A:B
606    Philippines                  Zamboanga                                  820,000         21          54        39,000      15,100      C:B
610    Argentina                    La Plata                                   815,000         88        228          9,300       3,600      C:B
610    Chile                        Concepcion                                 815,000         41        106         19,900       7,700      C:B
610    Mexico                       Aguascalientes                             815,000         77        199         10,600       4,100      C:B
610    Mexico                       Hermosillo                                 815,000         80        207         10,200       3,900      C:B
610    Viet Nam                     Can Tho                                    815,000         17          44        47,900      18,500      C:B
615    China                        Dandong, LN                                810,000         45        117         18,000       6,900      C:B
616    Central African Rep.         Bangui                                     805,000         43        111         18,700       7,200      D:B
616    Peru                         Trujillo                                   805,000         33          85        24,400       9,400      D:B
616    Russia                       Krasnodar                                  805,000         70        181         11,500       4,400      C:B
619    United States                Birmingham, AL                             800,000        530       1,373         1,400         500      A:A
620    Burundi                      Bujumbura                                  795,000         30          78        26,500      10,200      C:B
620    Switzerland                  Zurich                                     795,000         95        246          8,400       3,200      C:B
620    Syria                        Lattakia                                   795,000         16          41        49,700      19,200      D:B
620    United Kingdom               Newcastle upon Tyne                        795,000         70        181         11,100       4,300      A:A
624    Brazil                       Aracaju                                    790,000         45        117         17,600       6,800      C:B
624    Colombia                     Cucuta                                     790,000         39        101         20,300       7,800      C:B
624    India                        Saharanpur, UP                             790,000         15          39        52,700      20,300      A:B
624    Indonesia                    Samarinda                                  790,000         20          52        39,500      15,300      C:B
624    Nigeria                      Jos                                        790,000         27          70        29,300      11,300      W:B
629    Mexico                       Veracruz                                   785,000         63        163         12,500       4,800      C:B
630    Brazil                       Cuiaba                                     780,000        125        324          6,200       2,400      C:B
630    Somalia                      Hargeysa                                   780,000         25          65        31,200      12,000      D:B
630    United States                Omaha, NE-IA                               780,000        271        702          2,700       1,000      A:A
633    Brazil                       Jundiai                                    775,000        120        311          6,500       2,500      C:B
633    Saudi Arabia                 Taif                                       775,000         55        142         14,100       5,400      C:B
635    China                        Liaoyang, LN                               765,000         50        130         15,300       5,900      C:B
635    China                        Xingtai, HEB                               765,000         45        117         17,000       6,600      C:B
635    India                        Guntur, AP                                 765,000         14          36        54,600      21,100      A:B
635    Mexico                       Saltillo                                   765,000        105        272          7,300       2,800      C:B
635    Nigeria                      Maiduguri                                  765,000         60        155         12,800       4,900      W:B
635    Russia                       Saratov                                    765,000         87        225          8,800       3,400      C:B
635    Spain                        Las Palmas                                 765,000         40        104         19,100       7,400      C:B
642    China                        Jingzhou, HUB                              760,000         60        155         12,700       4,900      C:B
642    India                        Agartala, TR                               760,000         30          78        25,300       9,800      A:B
642    Poland                       Krakow                                     760,000         85        220          8,900       3,500      D:B
642    United Kingdom               Nottingham                                 760,000         68        176         10,700       4,100      A:A
646    China                        Quzhou, ZJ                                 755,000         68        176         11,100       4,300      C:B
646    China                        Shiyan, HUB                                755,000         47        122         16,100       6,200      C:B
646    Mexico                       Acapulco                                   755,000         46        119         16,400       6,300      C:B
646    Saudi Arabia                 Hufuf-Mubarraz                             755,000        105        272          7,200       2,800      D:B
646    Spain                        Bilbao                                     755,000         50        130         15,100       5,800      C:B
646    Turkmenistan                 Ashgabat                                   755,000         47        122         16,100       6,200      D:B
652    China                        Yuyao (Ningbo), ZJ                         750,000         47        122         16,000       6,200      C:B
652    Iran                         Urmia                                      750,000         34          88        22,100       8,500      D:B
650    Japan                        Fuji                                       750,000        130        337          5,800       2,200      C:B
652    Nigeria                      Owerri                                     750,000         50        130         15,000       5,800      W:B
656    Kazakhstan                   Shimkent                                   745,000         52        135         14,300       5,500      D:B
656    Malaysia                     Ipoh                                       745,000        100        259          7,500       2,900      D:B
656    Syria                        Al-Raqqa                                   745,000         12          31        62,100      24,000      D:B
656    Ukraine                      Zaporizhzhya                               745,000        100        259          7,500       2,900      D:B
660    Canada                       Québec, QC                                 740,000        258        668          2,700       1,000      A:A
660    India                        Puducherry, PY                             740,000         32          83        23,100       8,900      A:B
660    Libya                        Banghazi                                   740,000         90        233          8,200       3,200      D:B
660    Nigeria                      Ikorodu                                    740,000         50        130         14,800       5,700      W:B
660    Venezuela                    Barcelona                                  740,000         49        127         15,100       5,800      C:B
665    Burkina Faso                 Bobo-Dioulasso                             735,000         39        101         18,800       7,300      W:B
665    China                        Chenzhou, HUN                              735,000         42        109         17,500       6,800      C:B
665    China                        Jinhua, ZJ                                 735,000         72        186         10,200       3,900      C:B
665    China                        Panjin, LN                                 735,000        115        298          6,400       2,500      C:B
665    China                        Puyang, HEN                                735,000         46        119         16,000       6,200      C:B
665    Germany                      Dresden                                    735,000        105        272          7,000       2,700      C:B
665    India                        Gorakhpur, UP                              735,000         21          54        35,000      13,500      A:B
665    Kazakhstan                   Astana                                     735,000         70        181         10,500       4,100      C:B
665    Nigeria                      Zaria                                      735,000         34          88        21,600       8,300      W:B
665    Sudan                        Nyala                                      735,000         41        106         17,900       6,900      C:B
665    United States                Dayton, OH                                 735,000        351        909          2,100         800      A:A
665    United States                Rochester, NY                              735,000        324        839          2,200         900      A:A
677    Brazil                       Sorocaba                                   730,000        110        285          6,600       2,600      D:B
677    China                        Yingkou, LN                                730,000         24          62        30,400      11,700      C:B
677    Congo (Dem. Rep.)            Tshikapa                                   730,000         13          34        56,200      21,700      D:B
677    Italy                        Palermo                                    730,000         68        176         10,700       4,100      C:B
675    Japan                        Otsu                                       730,000         90        233          8,100       3,100      C:B
677    Malaysia                     Kuching                                    730,000         70        181         10,400       4,000      C:B
677    Moldova                      Chisinau                                   730,000         40        104         18,300       7,000      D:B
677    Pakistan                     Sargodha                                   730,000         20          52        36,500      14,100      D:B
677    Spain                        Zaragoza                                   730,000         57        148         12,800       4,900      C:B
677    Ukraine                      Lviv                                       730,000         75        194          9,700       3,800      D:B
687    China                        Shenzezhen, JS-ZJ                          725,000         56        145         12,900       5,000      C:B
687    China                        Xintai, SD                                 725,000         67        174         10,800       4,200      C:B
687    Italy                        Catania                                    725,000         95        246          7,600       2,900      C:B
687    Mexico                       Cancun                                     725,000         77        199          9,400       3,600      C:B
687    Saudi Arabia                 Khamis Mushayt                             725,000        155        401          4,700       1,800      C:B
687    Tunisia                      Sfax                                       725,000         77        199          9,400       3,600      D:B
693    China                        Ezhou, HUB                                 720,000         40        104         18,000       6,900      C:B
693    China                        Shangqiu, HEN                              720,000         70        181         10,300       4,000      C:B
693    China                        Yangquan, SAX                              720,000         48        124         15,000       5,800      C:B
693    Spain                        Malaga                                     720,000         52        135         13,800       5,300      C:B
697    China                        Nanchong, SC                               715,000         27          70        26,500      10,200      C:B
697    Gabon                        Libreville                                 715,000         70        181         10,200       3,900      D:B
697    Germany                      Hannover                                   715,000        110        285          6,500       2,500      C:B
697    India                        Bikaner, RJ                                715,000         25          65        28,600      11,000      A:B
697    Nigeria                      Enugu                                      715,000         30          78        23,800       9,200      W:B
697    Russia                       Tolyatti                                   715,000         56        145         12,800       4,900      C:B
697    South Africa                 Vereeniging                                715,000        130        337          5,500       2,100      C:B
697    Turkey                       Eskisehir                                  715,000         43        111         16,600       6,400      D:B
697    United States                Allentown, PA-NJ                           715,000        346        896          1,900         700      A:A
697    United States                Fresno, CA                                 715,000        171        443          3,800       1,500      A:A
707    Brazil                       Blumenau                                   710,000         40        104         17,800       6,900      C:B
707    Eritrea                      Asmara                                     710,000         41        106         17,300       6,700      C:B
707    United Kingdom               Sheffield                                  710,000         65        167         10,600       4,100      A:A
707    United States                Tulsa, OK                                  710,000        336        870          1,900         800      A:A
711    Canada                       Winnipeg, MB                               705,000        174        451          3,900       1,500      A:A
711    China                        Liupanshui, GZ                             705,000         35          91        20,100       7,800      C:B
711    China                        Yizing (Wuxi), JS                          705,000         27          70        26,100      10,100      C:B
711    Croatia                      Zagreb                                     705,000         72        186          9,800       3,800      C:B
711    India                        Amravati, MH                               705,000         17          44        41,500      16,000      A:B
711    Iraq                         Karbala                                    705,000         23          60        30,700      11,800      D:B
711    Thailand                     Chon Buri                                  705,000         64        166         11,000       4,300      C:B
718    China                        Anqiu (Weifang), SD                        700,000         36          93        19,400       7,500      C:B
718    China                        Dongsheng (Ordos), NM                      700,000         50        130         14,000       5,400      C:B
718    Cote d'Ivoire                Bouake                                     700,000         38          98        18,400       7,100      W:B
718    India                        Cuttack, OR                                700,000         20          52        35,000      13,500      A:B
716    Japan                        Kumamoto                                   700,000         50        130         14,000       5,400      C:B
716    Japan                        Nagano                                     700,000        110        285          6,400       2,500      C:B
718    Thailand                     Phuket                                     700,000         47        122         14,900       5,800      C:B
718    Yemen                        Ta'izz                                     700,000         17          44        41,200      15,900      D:B
726    China                        Loudi, HUN                                 695,000         22          57        31,600      12,200      C:B
726    China                        Luohe, HEN                                 695,000         17          44        40,900      15,800      C:B
726    China                        Shaoguan, GD                               695,000         50        130         13,900       5,400      C:B
726    China                        Shuozhou, SA                               695,000         37          96        18,800       7,300      C:B
726    Nigeria                      Warri                                      695,000         55        142         12,600       4,900      W:B
726    Poland                       Lodz                                       695,000         70        181          9,900       3,800      D:B
726    Venezuela                    Ciudad Guayana                             695,000         61        158         11,400       4,400      D:B
